EvidenceID,CaseMasterID,EvidenceType,Description,CollectionDate
41,19,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2023-10-29
42,20,Seized Document,Documents seized from the accused relevant to the investigation.,2024-10-22
43,20,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2024-09-06
44,20,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-10-02
45,21,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2022-06-12
46,21,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-05-30
47,22,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2026-07-18
48,22,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2026-08-28
49,23,Seized Property List,Inventory list of property seized from the scene under panchnama.,2026-03-12
50,23,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2026-03-25
51,23,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-02-27
52,24,Seized Property List,Inventory list of property seized from the scene under panchnama.,2026-08-10
53,24,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2026-07-09
54,25,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2024-07-30
55,25,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2024-08-19
56,26,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2024-01-13
57,26,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2024-02-18
58,27,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2025-06-20
59,27,Seized Document,Documents seized from the accused relevant to the investigation.,2025-06-15
60,27,Digital Communication Record,Digital communication records recovered relevant to the case.,2025-06-08
61,27,Digital Communication Record,Digital communication records recovered relevant to the case.,2025-05-22
62,27,Seized Document,Documents seized from the accused relevant to the investigation.,2025-06-08
63,28,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2022-10-21
64,28,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2022-09-11
65,28,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2022-09-12
66,28,CCTV Footage,CCTV footage obtained from a commercial establishment covering the period of the incident.,2022-10-15
67,29,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2024-07-24
68,30,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-07-19
69,30,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2025-08-14
70,30,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2025-08-12
71,31,Seized Narcotic Substance,Narcotic substance seized from the accused and sealed as case property.,2026-05-05
72,31,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-04-19
73,32,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2026-07-15
74,33,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-10-06
75,35,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2025-12-16
76,36,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2026-07-28
77,36,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2026-08-02
78,37,Seized Property List,Inventory list of property seized from the scene under panchnama.,2022-09-06
79,38,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2025-04-07
80,38,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2025-04-07
81,39,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2025-12-12
82,39,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-02-09
83,40,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-01-04
84,40,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-12-30
85,40,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-12-30
86,40,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2026-02-01
87,40,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2025-12-25
88,41,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2022-10-15
89,41,Weapon Recovery,Weapon suspected to be used in the offence recovered from the scene of occurrence and sent for forensic examination.,2022-09-01
90,41,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2022-10-14
91,42,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2026-08-07
92,42,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2026-07-05
93,42,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-07-15
94,42,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-08-05
95,42,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2026-06-29
96,43,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2023-04-29
97,43,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-06-18
98,43,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2023-06-15
99,43,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2023-04-29
100,43,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2023-05-23
101,43,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-04-28
102,44,Seized Property List,Inventory list of property seized from the scene under panchnama.,2025-01-08
103,44,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-02-20
104,45,Seized Property List,Inventory list of property seized from the scene under panchnama.,2023-04-19
105,46,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2024-09-01
106,46,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2024-10-15
107,47,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-01-07
108,47,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2025-01-01
109,47,Seized Property List,Inventory list of property seized from the scene under panchnama.,2025-02-15
110,48,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2024-05-26
111,48,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2024-04-26
112,48,Post-Mortem Report,Post-mortem report obtained detailing cause and time of death.,2024-06-09
113,48,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2024-06-25
114,49,Seized Document,Documents seized from the accused relevant to the investigation.,2023-06-10
115,49,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2023-05-14
116,49,Digital Communication Record,Digital communication records recovered relevant to the case.,2023-05-31
117,49,Digital Communication Record,Digital communication records recovered relevant to the case.,2023-06-12
118,49,Seized Document,Documents seized from the accused relevant to the investigation.,2023-06-04
119,50,Server Log,Server access logs obtained from the platform involved in the incident.,2026-03-11
120,51,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-12-19
121,51,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2022-11-24
122,52,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2024-04-07
123,52,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2024-04-08
124,52,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2024-05-10
125,52,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2024-04-01
126,52,Seized Financial Record,Financial records seized from the premises during search.,2024-04-14
127,53,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2023-06-26
128,54,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2026-02-05
129,54,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2026-01-15
130,55,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2022-04-22
131,55,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2022-06-10
132,55,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2022-04-25
133,56,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-06-18
134,56,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2025-06-28
135,56,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2025-06-25
136,57,Seized Narcotic Substance,Narcotic substance seized from the accused and sealed as case property.,2025-11-01
137,57,Chemical Analysis Report,Chemical analysis report confirming the composition of the seized substance.,2025-10-24
138,57,Seizure Photograph,Photographs taken at the time of seizure of case property.,2025-11-19
139,57,Weighment Report,Weighment report of the seized contraband prepared in presence of witnesses.,2025-11-25
140,58,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2023-11-23
141,58,Travel Document,Travel/identity documents of the victim seized during the investigation.,2023-12-18
142,58,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-01-07
143,58,Rescue Report,Rescue operation report prepared by the investigating team.,2023-12-23
144,59,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-07-14
145,59,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2024-07-29
146,59,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2024-08-13
147,59,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2024-08-21
148,59,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2024-08-05
149,60,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-08-16
150,61,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-06-21
151,61,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-06-13
152,61,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2025-06-13
153,61,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2025-06-10
154,62,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-01-09
155,62,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2025-02-07
156,63,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2022-05-22
157,63,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2022-06-05
158,64,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2024-03-10
159,65,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2026-08-12
160,66,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2025-12-30
161,66,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2025-11-22
162,66,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-12-18
163,67,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2023-02-15
164,67,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2023-01-13
165,67,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-01-29
166,67,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2023-02-05
167,67,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2023-01-01
168,68,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2022-12-08
169,68,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2022-11-19
170,68,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2022-11-29
171,68,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2022-11-28
172,69,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-02-23
173,69,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2024-01-05
174,69,Seized Property List,Inventory list of property seized from the scene under panchnama.,2024-02-17
175,70,Rescue Report,Rescue operation report prepared by the investigating team.,2022-07-11
176,70,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2022-07-10
177,71,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-05-19
178,72,Rescue Report,Rescue operation report prepared by the investigating team.,2022-08-26
179,72,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-08-04
180,73,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2026-04-26
181,73,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2026-05-15
182,74,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-09-13
183,74,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2024-08-20
184,75,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2024-06-05
185,75,Post-Mortem Report,Post-mortem report obtained detailing cause and time of death.,2024-05-31
186,75,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-05-19
187,77,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2023-07-20
188,77,Seized Financial Record,Financial records seized from the premises during search.,2023-07-15
189,78,Rescue Report,Rescue operation report prepared by the investigating team.,2022-08-31
190,79,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2026-07-11
191,80,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2023-12-31
192,80,Seizure Photograph,Photographs taken at the time of seizure of case property.,2024-02-01
193,80,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2024-01-01
194,80,Seizure Photograph,Photographs taken at the time of seizure of case property.,2024-02-02
195,81,Seized Property List,Inventory list of property seized from the scene under panchnama.,2023-07-11
196,81,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2023-07-27
197,82,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2026-04-28
198,82,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2026-05-29
199,82,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2026-05-27
200,83,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-12-16
201,84,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-04-09
202,85,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2024-11-05
203,85,Tool Mark Analysis,Tool marks found at the point of entry sent for forensic comparison.,2024-11-25
204,86,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-07-07
205,86,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-07-08
206,87,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2026-07-27
207,89,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2026-11-16
208,89,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2026-11-30
209,90,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2025-03-20
210,90,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2025-02-03
211,90,Seizure Photograph,Photographs taken at the time of seizure of case property.,2025-03-08
212,91,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2026-11-29
213,92,Seized Financial Record,Financial records seized from the premises during search.,2026-03-11
214,92,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2026-03-16
215,92,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2026-04-01
216,93,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2024-06-18
217,93,Seizure Photograph,Photographs taken at the time of seizure of case property.,2024-07-17
218,94,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2022-07-22
219,94,Weapon Recovery,Weapon suspected to be used in the offence recovered from the scene of occurrence and sent for forensic examination.,2022-05-31
220,94,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2022-07-09
221,94,Post-Mortem Report,Post-mortem report obtained detailing cause and time of death.,2022-07-12
222,95,Recovered Stolen Property,Stolen property recovered and seized under panchnama in the presence of witnesses.,2025-10-26
223,96,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2023-09-03
224,97,CCTV Footage,CCTV footage obtained from the main road junction covering the period of the incident.,2025-03-15
225,98,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2025-01-10
226,100,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2027-01-07
227,100,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2026-11-12
228,101,Chemical Analysis Report,Chemical analysis report confirming the composition of the seized substance.,2025-04-25
229,102,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2023-07-15
230,102,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2023-08-28
231,102,Rescue Report,Rescue operation report prepared by the investigating team.,2023-07-25
232,103,Guardian Statement Record,Statement of the parent/guardian recorded regarding the incident.,2026-07-02
233,103,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2026-08-14
234,104,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2022-10-30
235,104,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2022-10-11
236,105,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2023-10-18
237,105,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2023-09-29
238,106,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2025-08-16
239,106,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2025-09-04
240,107,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2022-03-23
241,107,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2022-03-13
242,107,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2022-04-04
243,108,Weighment Report,Weighment report of the seized contraband prepared in presence of witnesses.,2024-11-29
244,109,Rescue Report,Rescue operation report prepared by the investigating team.,2025-04-24
245,109,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2025-05-03
246,109,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2025-04-04
247,110,Weighment Report,Weighment report of the seized contraband prepared in presence of witnesses.,2026-02-12
248,110,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-02-07
249,111,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2024-08-10
250,111,Post-Mortem Report,Post-mortem report obtained detailing cause and time of death.,2024-08-02
251,112,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-09-08
252,112,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2025-09-29
253,112,CCTV Footage,CCTV footage obtained from a commercial establishment covering the period of the incident.,2025-10-09
254,113,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2025-04-13
255,113,Bank Statement,Bank statement of the victim obtained to trace the fraudulent transaction.,2025-03-18
256,113,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-03-31
257,114,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2024-03-15
258,114,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-03-05
259,114,Seized Document,Documents seized from the accused relevant to the investigation.,2024-03-20
260,114,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-04-05
261,115,Video Recording,Video recording of the incident obtained from bystanders/media sources.,2022-02-23
262,115,Seized Weapon/Object,Object used during the incident seized and produced before the court.,2022-02-19
263,116,Forged Document,Suspected forged document seized and sent for handwriting/document examination.,2024-12-15
264,116,Audit Report,Audit report obtained to verify financial irregularities alleged in the case.,2025-01-19
265,116,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2025-01-11
266,116,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2024-12-21
267,117,Server Log,Server access logs obtained from the platform involved in the incident.,2026-10-31
268,117,Device Forensic Report,Forensic imaging and analysis report of the seized electronic device.,2026-11-12
269,118,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2025-07-18
270,119,Travel Document,Travel/identity documents of the victim seized during the investigation.,2023-12-12
271,120,Seized Property List,Inventory list of property seized from the scene under panchnama.,2024-01-21
272,120,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-02-16
273,120,Witness Statement Record,Statement of an independent witness recorded under the relevant procedure.,2024-01-27
274,121,Seized Financial Record,Financial records seized from the premises during search.,2025-01-28
275,121,Digital Ledger,Digital transaction ledger recovered from the accused's device/premises.,2025-02-07
276,121,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2025-01-31
277,122,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2025-02-21
278,122,Server Log,Server access logs obtained from the platform involved in the incident.,2025-03-07
279,123,Seizure Photograph,Photographs taken at the time of seizure of case property.,2026-03-03
280,124,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2025-05-11
281,124,Seized Property List,Inventory list of property seized from the scene under panchnama.,2025-04-13
282,125,Rescue Report,Rescue operation report prepared by the investigating team.,2022-03-01
283,125,Travel Document,Travel/identity documents of the victim seized during the investigation.,2022-02-16
284,126,CCTV Footage,CCTV footage obtained from the scene of occurrence covering the period of the incident.,2026-10-03
285,127,Weapon Recovery,Weapon suspected to be used in the offence recovered from the victim's residence and sent for forensic examination.,2027-01-08
286,127,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2026-11-13
287,128,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2024-05-14
288,129,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2023-04-24
289,130,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2025-09-26
290,131,Travel Document,Travel/identity documents of the victim seized during the investigation.,2024-06-18
291,131,Victim Statement Record,Detailed statement of the victim recorded regarding the incident.,2024-05-08
292,131,Scene Photograph,Photographs of the scene of occurrence taken during spot inspection.,2024-05-14
293,131,Rescue Report,Rescue operation report prepared by the investigating team.,2024-04-26
294,131,Call Detail Record,Call detail records of the accused/victim obtained from the service provider.,2024-05-03
295,132,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2025-07-08
296,134,Post-Mortem Report,Post-mortem report obtained detailing cause and time of death.,2025-11-18
297,134,Weapon Recovery,Weapon suspected to be used in the offence recovered from the victim's residence and sent for forensic examination.,2025-11-23
298,135,CCTV Footage,CCTV footage obtained from the victim's residence covering the period of the incident.,2023-10-04
299,136,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-05-31
300,137,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2026-03-18
301,137,Clothing Sample,Clothing sample seized from the victim/accused for forensic examination.,2026-04-28
302,138,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2024-05-23
303,139,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-01-13
304,140,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2023-04-28
305,140,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2023-04-12
306,140,CCTV Footage,CCTV footage obtained from a residential premises covering the period of the incident.,2023-04-22
307,141,Seized Document,Documents seized from the accused relevant to the investigation.,2024-04-26
308,141,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2024-04-15
309,142,Blood Sample,Blood sample collected from the scene of occurrence for forensic DNA analysis.,2024-04-30
310,142,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2024-05-29
311,142,Weapon Recovery,Weapon suspected to be used in the offence recovered from a nearby shop and sent for forensic examination.,2024-04-07
312,143,Device Forensic Report,Forensic imaging and analysis report of the seized electronic device.,2025-04-07
313,143,IP Access Log,IP access logs obtained from the service provider linked to the reported activity.,2025-03-24
314,144,Medical Examination Report,Medical examination report of the victim obtained from the treating hospital.,2024-04-12
315,144,DNA Swab,DNA swab sample collected and sent to the forensic science laboratory.,2024-04-18
316,145,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2026-07-13
317,146,Panchnama Report,Panchnama prepared at the scene documenting the seizure and recovery.,2022-08-07
318,146,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-08-22
319,146,Seized Contraband,Contraband items seized from the accused and sealed as case property.,2022-07-03
320,146,Seizure Photograph,Photographs taken at the time of seizure of case property.,2022-08-12
321,147,Seized Document,Documents seized from the accused relevant to the investigation.,2025-02-23
322,148,CCTV Footage,CCTV footage obtained from a nearby shop covering the period of the incident.,2023-07-17
323,148,Breath Analyzer Report,Breath analyzer test report of the accused driver at the time of apprehension.,2023-08-31
324,148,Vehicle Damage Report,Vehicle damage inspection report prepared by the motor vehicle inspector.,2023-08-16
325,148,Mechanical Inspection Report,Mechanical inspection report of the vehicle involved in the incident.,2023-09-11
326,149,Surveillance Report,Surveillance report prepared by the investigating team prior to action.,2024-09-14
327,149,Digital Communication Record,Digital communication records recovered relevant to the case.,2024-09-20
328,149,Seized Document,Documents seized from the accused relevant to the investigation.,2024-10-17
329,150,Bank Transaction Statement,Bank account statement of the accused/complainant obtained for financial trail analysis.,2026-02-03
330,150,Screenshot Evidence,Screenshots of the fraudulent communication submitted by the complainant.,2026-01-25
331,151,Fingerprint Lift,Latent fingerprints lifted from the scene for identification analysis.,2023-10-31
